Temp,Setpoint,,Time
38.11,38.5,111.82,346071
38.11,38.5,124.74,346272
38.11,38.5,120.83,346473
38.11,38.5,120.87,346674
38.11,38.5,120.91,346875
38.14,38.5,120.94,347076
38.14,38.5,112.03,347277
38.14,38.5,116.01,347478
38.14,38.5,116.05,347679
38.11,38.5,116.08,347880
38.11,38.5,125.06,348081
38.14,38.5,121.15,348282
38.14,38.5,112.24,348483
38.11,38.5,116.22,348684
38.14,38.5,125.2,348885
38.07,38.5,112.34,349086
38.11,38.5,134.18,349287
38.11,38.5,117.43,349488
38.07,38.5,121.4,349689
38.11,38.5,130.35,349890
38.11,38.5,117.54,350091
38.11,38.5,121.51,350292
38.11,38.5,121.55,350493
38.11,38.5,121.58,350694
38.11,38.5,121.62,350895
38.11,38.5,121.66,351096
38.11,38.5,121.69,351297
38.11,38.5,121.73,351498
38.07,38.5,121.77,351699
38.11,38.5,130.72,351900
38.11,38.5,117.91,352101
38.11,38.5,121.88,352302
38.11,38.5,121.92,352503
38.11,38.5,121.95,352704
38.11,38.5,121.99,352905
38.11,38.5,122.03,353106
38.11,38.5,122.06,353307
38.11,38.5,122.1,353508
38.11,38.5,122.13,353709
38.11,38.5,122.17,353910
38.11,38.5,122.21,354111
38.11,38.5,122.24,354312
38.11,38.5,122.28,354513
38.07,38.5,122.32,354714
38.11,38.5,131.27,354915
38.14,38.5,118.46,355116
38.11,38.5,113.49,355317
38.11,38.5,126.41,355518
38.11,38.5,122.5,355719
38.14,38.5,122.54,355920
38.11,38.5,113.63,356121
38.11,38.5,126.55,356322
38.11,38.5,122.64,356523
38.11,38.5,122.68,356724
38.14,38.5,122.72,356925
38.14,38.5,113.81,357126
38.14,38.5,117.79,357327
38.11,38.5,117.82,357528
38.14,38.5,126.8,357729
38.14,38.5,113.94,357930
38.14,38.5,117.92,358131
38.14,38.5,117.96,358332
38.14,38.5,117.99,358533
38.11,38.5,118.02,358734
38.14,38.5,127,358935
38.14,38.5,114.15,359136
38.14,38.5,118.13,359337
38.14,38.5,118.16,359538
38.14,38.5,118.19,359739
38.14,38.5,118.23,359940
38.14,38.5,118.26,360141
38.17,38.5,118.29,360342
38.14,38.5,109.41,360543
38.11,38.5,122.29,360744
38.14,38.5,127.33,360945
38.11,38.5,114.48,361146
38.14,38.5,127.4,361347
38.14,38.5,114.55,361548
38.11,38.5,118.53,361749
38.17,38.5,127.51,361950
38.17,38.5,105.74,362151
38.14,38.5,113.65,362352
38.14,38.5,122.59,362553
38.14,38.5,118.69,362754
38.17,38.5,118.73,362955
38.14,38.5,109.84,363156
38.14,38.5,122.72,363357
38.14,38.5,118.82,363558
38.14,38.5,118.86,363759
38.14,38.5,118.89,363960
38.14,38.5,118.92,364161
38.14,38.5,118.96,364362
38.17,38.5,118.99,364563
38.17,38.5,110.11,364764
38.17,38.5,114.07,364965
38.14,38.5,114.1,365166
38.17,38.5,123.05,365367
38.14,38.5,110.23,365568
38.14,38.5,123.11,365769
38.14,38.5,119.21,365970
38.14,38.5,119.24,366171
38.17,38.5,119.28,366372
38.14,38.5,110.39,366573
38.14,38.5,123.27,366774
38.14,38.5,119.37,366975
38.14,38.5,119.41,367176
38.14,38.5,119.44,367377
38.14,38.5,119.47,367578
38.17,38.5,119.51,367779
38.14,38.5,110.62,367980
38.14,38.5,123.5,368181
38.11,38.5,119.61,368382
38.14,38.5,128.58,368583
38.17,38.5,115.73,368784
38.14,38.5,110.79,368985
38.14,38.5,123.67,369186
38.14,38.5,119.77,369387
38.14,38.5,119.81,369588
38.14,38.5,119.84,369789
