Temp,Setpoint,Output,TempPWM,SetpointPWM,Status,,
36.92,37,81.76,67.16,67.23,hello,,
36.95,37,87.53,67.19,67.23,hello,,
36.95,37,77.06,67.19,67.23,hello,,
37.02,37,82.82,67.24,67.23,hello,,
37.05,37,61.82,67.27,67.23,hello,,
37.09,37,62.89,67.29,67.23,hello,,
37.12,37,58.16,67.32,67.23,hello,,
37.12,37,53.4,67.32,67.23,hello,,
37.16,37,59.18,67.35,67.23,hello,,
37.19,37,48.68,67.37,67.23,hello,,
37.19,37,43.95,67.37,67.23,hello,,
37.22,37,49.7,67.4,67.23,hello,,
37.26,37,39.2,67.43,67.23,hello,,
37.29,37,34.43,67.45,67.23,hello,,
37.33,37,29.71,67.48,67.23,hello,,
37.36,37,24.96,67.5,67.23,hello,,
37.36,37,20.19,67.5,67.23,hello,,
37.39,37,25.94,67.53,67.23,hello,,
37.43,37,15.43,67.56,67.23,hello,,
37.46,37,10.67,67.58,67.23,hello,,
37.46,37,5.89,67.58,67.23,hello,,
37.46,37,11.64,67.58,67.23,hello,,
37.5,37,11.6,67.61,67.23,hello,,
37.5,37,1.08,67.61,67.23,hello,,
37.53,37,6.81,67.64,67.23,hello,,
37.53,37,0,67.64,67.23,hello,,
37.6,37,2.01,67.69,67.23,hello,,
37.56,37,0,67.66,67.23,hello,,
37.6,37,2.95,67.69,67.23,hello,,
37.6,37,0,67.69,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.63,37,0,67.71,67.23,hello,,
37.66,37,0,67.74,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.7,37,0,67.77,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.73,37,0,67.79,67.23,hello,,
37.77,37,0,67.82,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.8,37,0,67.85,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.83,37,0,67.87,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.87,37,0,67.9,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.9,37,0,67.92,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.94,37,0,67.95,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
37.97,37,0,67.98,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38.04,37,0,68.03,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38.04,37,0,68.03,67.23,hello,,
38.04,37,0,68.03,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38.04,37,0,68.03,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
38,37,0,68,67.23,hello,,
