Temp,Setpoint,,,
37.26,37,20.15,67.43,67.23
37.29,37,20.13,67.45,67.23
37.29,37,10.01,67.45,67.23
37.22,37,15.23,67.4,67.23
37.26,37,35.43,67.43,67.23
37.26,37,14.79,67.43,67.23
37.26,37,20.02,67.43,67.23
37.26,37,20,67.43,67.23
37.26,37,19.98,67.43,67.23
37.22,37,19.96,67.4,67.23
37.22,37,30.07,67.4,67.23
37.22,37,24.79,67.4,67.23
37.22,37,24.77,67.4,67.23
37.22,37,24.76,67.4,67.23
37.22,37,24.74,67.4,67.23
37.22,37,24.72,67.4,67.23
37.22,37,24.71,67.4,67.23
37.19,37,24.69,67.37,67.23
37.19,37,34.77,67.37,67.23
37.19,37,29.51,67.37,67.23
37.19,37,29.49,67.37,67.23
37.19,37,29.48,67.37,67.23
37.19,37,29.46,67.37,67.23
37.19,37,29.45,67.37,67.23
37.16,37,29.44,67.35,67.23
37.19,37,39.51,67.37,67.23
37.16,37,24.17,67.35,67.23
37.16,37,39.49,67.35,67.23
37.12,37,34.23,67.32,67.23
37.16,37,44.31,67.35,67.23
37.16,37,28.97,67.35,67.23
37.16,37,34.2,67.35,67.23
37.16,37,34.19,67.35,67.23
37.12,37,34.18,67.32,6.23
37.12,37,44.26,67.32,67.23
37.12,37,39.01,67.32,67.23
37.12,37,39,67.32,67.23
37.12,37,38.99,67.32,67.23
37.12,37,38.98,67.32,67.23
37.12,37,38.97,67.32,67.23
37.09,37,38.96,67.29,67.23
37.12,37,49.07,67.32,67.23
37.09,37,33.69,67.29,67.23
37.05,37,49.06,67.27,67.23
37.05,37,53.89,67.27,67.23
37.09,37,48.64,67.29,67.23
37.09,37,38.54,67.29,67.23
37.09,37,43.78,67.29,67.23
37.05,37,43.77,67.27,67.23
37.05,37,53.86,67.27,67.23
37.05,37,48.61,67.27,67.23
37.05,37,48.61,67.27,67.23
37.02,37,48.6,67.24,67.23
37.02,37,58.69,67.24,67.23
37.02,37,53.45,67.24,67.23
37.02,37,53.45,67.24,67.23
37.02,37,53.45,67.24,67.23
37.02,37,53.44,67.24,67.23
37.02,37,53.44,67.24,67.23
37.05,37,53.44,67.27,67.23
36.99,37,43.35,67.22,67.23
36.99,37,68.77,67.22,67.23
36.99,37,58.29,67.22,67.23
36.99,37,58.29,67.22,67.23
36.99,37,58.29,67.22,67.23
36.99,37,58.29,67.22,67.23
36.99,37,58.29,67.22,67.23
36.95,37,58.29,67.19,67.23
36.95,37,68.42,67.19,67.23
36.95,37,63.16,67.19,67.23
36.92,37,63.17,67.16,67.23
36.95,37,73.26,67.19,67.23
36.95,37,57.94,67.19,67.23
36.95,37,63.18,67.19,67.23
36.95,37,63.18,67.19,67.23
36.95,37,63.19,67.19,67.23
36.92,37,63.19,67.16,67.23
36.92,37,73.29,67.16,67.23
36.92,37,68.05,67.16,67.23
36.88,37,68.06,67.14,67.23
36.88,37,78.16,67.14,67.23
36.88,37,72.93,67.14,67.23
36.88,37,72.94,67.14,67.23
36.85,37,72.94,67.11,67.23
36.85,37,83.08,67.11,67.23
36.85,37,77.83,67.11,67.23
36.85,37,77.84,67.11,67.23
36.85,37,77.85,67.11,67.23
36.85,37,77.86,67.11,67.23
36.85,37,77.88,67.11,67.23
36.85,37,77.89,67.11,67.23
36.85,37,77.9,67.11,67.23
36.82,37,77.91,67.09,67.23
36.82,37,88.02,67.09,67.23
36.82,37,82.79,67.09,67.23
36.82,37,82.8,67.09,67.23
36.82,37,82.82,67.09,67.23
36.78,37,82.83,67.06,67.23
36.82,37,92.94,67.09,67.23
36.78,37,77.62,67.06,67.23
36.78,37,92.97,67.06,67.23
36.78,37,87.74,67.06,67.23
36.78,37,87.76,67.06,67.23
36.75,37,87.78,67.03,67.23
36.75,37,97.92,67.03,67.23
36.75,37,92.68,67.03,67.23
36.71,37,92.7,67.01,67.23
36.75,37,102.81,67.03,67.23
36.71,37,87.5,67.01,67.23
36.71,37,102.85,67.01,67.23
36.71,37,97.63,67.01,67.23
36.71,37,97.65,67.01,67.23
36.71,37,97.68,67.01,67.23
36.71,37,97.7,67.01,67.23
36.71,37,97.72,67.01,67.23
36.68,37,97.74,66.98,67.23
36.68,37,107.86,66.98,67.23
36.68,37,102.64,66.98,67.23
36.68,37,102.67,66.98,67.23
36.68,37,102.69,66.98,67.23
36.65,37,102.71,66.95,67.23
36.68,37,112.86,66.98,67.23
36.68,37,97.51,66.98,67.23
36.68,37,102.79,66.98,67.23
36.61,37,102.82,66.93,67.23
36.65,37,123.05,66.95,67.23
36.65,37,102.5,66.95,67.23
36.61,37,107.76,66.93,67.23
36.65,37,117.88,66.95,67.23
36.61,37,102.58,66.93,67.23
36.61,37,117.94,66.93,67.23
36.61,37,112.73,66.93,67.23
36.61,37,112.76,66.93,67.23
36.61,37,112.79,66.93,67.23
36.58,37,112.82,66.9,67.23
36.58,37,122.94,66.9,67.23
36.54,37,117.73,66.88,67.23
36.58,37,127.89,66.9,67.23
36.58,37,112.54,66.9,67.23
36.58,37,117.83,66.9,67.23
36.54,37,117.86,66.88,67.23
36.54,37,128.02,66.88,67.23
36.54,37,122.8,66.88,67.23
36.51,37,122.83,66.85,67.23
36.54,37,132.96,66.88,67.23
36.51,37,117.66,66.85,67.23
36.51,37,133.03,66.85,67.23
36.51,37,127.83,66.85,67.23
36.51,37,127.87,66.85,67.23
36.51,37,127.91,66.85,67.23
36.51,37,127.94,66.85,67.23
36.48,37,127.98,66.82,67.23
36.48,37,138.11,66.82,67.23
36.51,37,132.91,66.85,67.23
36.48,37,122.86,66.82,67.23
36.51,37,138.23,66.85,67.23
36.51,37,122.94,66.85,67.23
36.48,37,128.22,66.82,67.23
36.48,37,138.34,66.82,67.23
36.48,37,133.14,66.82,67.23
36.48,37,133.18,66.82,67.23
36.48,37,133.22,66.82,67.23
36.44,37,133.27,66.8,67.23
36.48,37,143.4,66.82,67.23
36.48,37,128.11,66.82,67.23
36.48,37,133.39,66.82,67.23
36.48,37,133.43,66.82,67.23
36.48,37,133.47,66.82,67.23
36.48,37,133.51,66.82,67.23
36.48,37,133.55,66.82,67.23
36.48,37,133.59,66.82,67.23
36.48,37,133.63,66.82,67.23
36.51,37,133.67,66.85,67.23
36.48,37,123.62,66.82,67.23
36.48,37,138.99,66.82,67.23
36.51,37,133.79,66.85,67.23
36.51,37,123.74,66.85,67.23
36.51,37,129.02,66.85,67.23
36.51,37,129.06,66.85,67.23
36.51,37,129.09,66.85,67.23
36.54,37,129.13,66.88,67.23
36.54,37,119.08,66.88,67.23
36.58,37,124.35,66.9,67.23
36.58,37,114.27,66.9,67.23
36.58,37,119.56,66.9,67.23
36.58,37,119.59,66.9,67.23
36.58,37,119.62,66.9,67.23
36.61,37,119.66,66.93,67.23
36.61,37,109.6,66.93,67.23
36.61,37,114.87,66.93,67.23
36.65,37,114.9,66.95,67.23
36.65,37,104.84,66.95,67.23
36.65,37,110.1,66.95,67.23
36.68,37,110.13,66.98,67.23
36.68,37,100.04,66.98,67.23
36.68,37,105.32,66.98,67.23
36.71,37,105.34,67.01,67.23
36.68,37,95.27,66.98,67.23
36.71,37,110.63,67.01,67.23
36.71,37,95.32,67.01,67.23
36.71,37,100.58,67.01,67.23
36.75,37,100.61,67.03,67.23
36.71,37,90.54,67.01,67.23
36.78,37,105.89,67.06,67.23
36.71,37,80.46,67.01,67.23
36.75,37,111.19,67.03,67.23
36.75,37,90.62,67.03,67.23
36.78,37,95.88,67.06,67.23
36.78,37,85.78,67.06,67.23
36.82,37,91.05,67.09,67.23
36.78,37,80.97,67.06,67.23
36.78,37,96.32,67.06,67.23
36.78,37,91.1,67.06,67.23
36.82,37,91.11,67.09,67.23
36.78,37,81.04,67.06,67.23
36.78,37,96.39,67.06,67.23
36.82,37,91.16,67.09,67.23
36.82,37,81.09,67.09,67.23
36.78,37,86.34,67.06,67.23
36.85,37,96.45,67.11,67.23
36.85,37,71.04,67.11,67.23
36.82,37,81.53,67.09,67.23
36.82,37,91.64,67.09,67.23
36.82,37,86.41,67.09,67.23
36.82,37,86.42,67.09,67.23
36.82,37,86.44,67.09,67.23
36.85,37,86.45,67.11,67.23
36.85,37,76.37,67.11,67.23
36.85,37,81.63,67.11,67.23
36.85,37,81.64,67.11,67.23
36.82,37,81.65,67.09,67.23
36.78,37,91.76,67.06,67.23
36.82,37,96.62,67.09,67.23
36.82,37,81.3,67.09,67.23
36.85,37,86.56,67.11,67.23
36.82,37,76.48,67.09,67.23
36.85,37,91.83,67.11,67.23
36.85,37,76.51,67.11,67.23
36.85,37,81.76,67.11,67.23
36.82,37,81.77,67.09,67.23
36.82,37,91.88,67.09,67.23
36.85,37,86.65,67.11,67.23
36.82,37,76.57,67.09,67.23
36.82,37,91.92,67.09,67.23
36.82,37,86.69,67.09,67.23
36.82,37,86.7,67.09,67.23
36.82,37,86.72,67.09,67.23
36.82,37,86.73,67.09,67.23
36.82,37,86.74,67.09,67.23
36.82,37,86.76,67.09,67.23
36.78,37,86.77,67.06,67.23
36.82,37,96.88,67.09,67.23
36.78,37,81.56,67.06,67.23
36.82,37,96.91,67.09,67.23
36.78,37,81.59,67.06,67.23
36.78,37,96.94,67.06,67.23
36.75,37,91.72,67.03,67.23
36.75,37,101.86,67.03,67.23
36.78,37,96.62,67.06,67.23
36.78,37,86.52,67.06,67.23
36.78,37,91.79,67.06,67.23
36.78,37,91.81,67.06,67.23
36.75,37,91.82,67.03,67.23
36.75,37,101.96,67.03,67.23
36.75,37,96.73,67.03,67.23
36.75,37,96.74,67.03,67.23
36.75,37,96.76,67.03,67.23
36.75,37,96.78,67.03,67.23
36.75,37,96.8,67.03,67.23
36.75,37,96.82,67.03,67.23
36.75,37,96.84,67.03,67.23
36.75,37,96.86,67.03,67.23
36.71,37,96.88,67.01,67.23
36.68,37,106.99,66.98,67.23
36.68,37,111.87,66.98,67.23
36.71,37,106.65,67.01,67.23
36.71,37,96.58,67.01,67.23
36.71,37,101.84,67.01,67.23
36.71,37,101.87,67.01,67.23
36.68,37,101.89,66.98,67.23
36.71,37,112,67.01,67.23
36.71,37,96.69,67.01,67.23
36.68,37,101.96,66.98,67.23
36.68,37,112.07,66.98,67.23
36.68,37,106.86,66.98,67.23
36.68,37,106.88,66.98,67.23
36.65,37,106.9,66.95,67.23
36.68,37,117.05,66.98,67.23
36.65,37,101.7,66.95,67.23
36.65,37,117.1,66.95,67.23
36.65,37,111.87,66.95,67.23
36.65,37,111.9,66.95,67.23
36.61,37,111.93,66.93,67.23
36.65,37,122.05,66.95,67.23
36.61,37,106.75,66.93,67.23
36.65,37,122.11,66.95,67.23
36.65,37,106.8,66.95,67.23
36.61,37,112.07,66.93,67.23
36.61,37,122.19,66.93,67.23
36.61,37,116.98,66.93,67.23
36.58,37,117.01,66.9,67.23
36.58,37,127.13,66.9,67.23
36.58,37,121.92,66.9,67.23
36.58,37,121.95,66.9,67.23
36.58,37,121.99,66.9,67.23
36.58,37,122.02,66.9,67.23
36.58,37,122.05,66.9,67.23
36.54,37,122.08,66.88,67.23
36.54,37,132.24,66.88,67.23
36.54,37,127.02,66.88,67.23
36.54,37,127.05,66.88,67.23
36.54,37,127.09,66.88,67.23
36.51,37,127.12,66.85,67.23
36.54,37,137.25,66.88,67.23
36.51,37,121.96,66.85,67.23
36.54,37,137.32,66.88,67.23
36.51,37,122.03,66.85,67.23
36.51,37,137.4,66.85,67.23
36.48,37,132.19,66.82,67.23
36.51,37,142.32,66.85,67.23
36.54,37,127.03,66.88,67.23
36.48,37,122.22,66.82,67.23
36.51,37,147.68,66.85,67.23
36.51,37,127.14,66.85,67.23
36.48,37,132.42,66.82,67.23
36.51,37,142.55,66.85,67.23
36.48,37,127.26,66.82,67.23
36.51,37,142.63,66.85,67.23
36.48,37,127.34,66.82,67.23
36.51,37,142.71,66.85,67.23
36.51,37,127.42,66.85,67.23
36.51,37,132.7,66.85,67.23
36.48,37,132.73,66.82,67.23
36.48,37,142.86,66.82,67.23
36.51,37,137.66,66.85,67.23
36.51,37,127.61,66.85,67.23
36.48,37,132.89,66.82,67.23
36.51,37,143.02,66.85,67.23
36.51,37,127.73,66.85,67.23
36.51,37,133.01,66.85,67.23
36.51,37,133.04,66.85,67.23
36.48,37,133.08,66.82,67.23
36.51,37,143.21,66.85,67.23
36.51,37,127.92,66.85,67.23
36.51,37,133.2,66.85,67.23
36.54,37,133.24,66.88,67.23
36.54,37,123.18,66.88,67.23
36.54,37,128.46,66.88,67.23
36.54,37,128.49,66.88,67.23
36.54,37,128.53,66.88,67.23
36.58,37,128.56,66.9,67.23
36.54,37,118.48,66.88,67.23
36.61,37,133.89,66.93,67.23
36.58,37,108.45,66.9,67.23
36.61,37,129.07,66.93,67.23
36.61,37,113.77,66.93,67.23
36.65,37,119.04,66.95,67.23
36.65,37,108.98,66.95,67.23
36.65,37,114.25,66.95,67.23
36.65,37,114.28,66.95,67.23
36.65,37,114.3,66.95,67.23
36.68,37,114.33,66.98,67.23
36.68,37,104.24,66.98,67.23
36.68,37,109.52,66.98,67.23
36.71,37,109.54,67.01,67.23
36.71,37,99.47,67.01,67.23
36.71,37,104.74,67.01,67.23
36.71,37,104.76,67.01,67.23
36.75,37,104.78,67.03,67.23
36.75,37,94.71,67.03,67.23
36.71,37,99.97,67.01,67.23
36.75,37,110.08,67.03,67.23
36.75,37,94.77,67.03,67.23
36.78,37,100.03,67.06,67.23
36.82,37,89.93,67.09,67.23
36.78,37,85.11,67.06,67.23
36.78,37,100.46,67.06,67.23
36.78,37,95.24,67.06,67.23
36.78,37,95.25,67.06,67.23
36.82,37,95.27,67.09,67.23
36.82,37,85.19,67.09,67.23
36.82,37,90.45,67.09,67.23
36.82,37,90.46,67.09,67.23
36.85,37,90.48,67.11,67.23
36.85,37,80.4,67.11,67.23
36.85,37,85.65,67.11,67.23
36.85,37,85.66,67.11,67.23
36.85,37,85.68,67.11,67.23
36.85,37,85.69,67.11,67.23
36.85,37,85.7,67.11,67.23
36.85,37,85.71,67.11,67.23
36.85,37,85.72,67.11,67.23
36.85,37,85.73,67.11,67.23
36.85,37,85.75,67.11,67.23
36.88,37,85.76,67.14,67.23
36.88,37,75.65,67.14,67.23
36.88,37,80.91,67.14,67.23
36.88,37,80.92,67.14,67.23
36.85,37,80.93,67.11,67.23
36.88,37,91.06,67.14,67.23
36.88,37,75.69,67.14,67.23
36.88,37,80.96,67.14,67.23
36.85,37,80.97,67.11,67.23
36.88,37,91.1,67.14,67.23
36.88,37,75.73,67.14,67.23
36.88,37,81,67.14,67.23
36.88,37,81.01,67.14,67.23
36.88,37,81.02,67.14,67.23
36.88,37,81.03,67.14,67.23
36.88,37,81.03,67.14,67.23
36.88,37,81.04,67.14,67.23
36.88,37,81.05,67.14,67.23
36.85,37,81.06,67.11,67.23
36.88,37,91.19,67.14,67.23
36.88,37,75.83,67.14,67.23
36.88,37,81.09,67.14,67.23
36.88,37,81.1,67.14,67.23
36.88,37,81.11,67.14,67.23
36.85,37,81.12,67.11,67.23
36.88,37,91.25,67.14,67.23
36.85,37,75.88,67.11,67.23
36.85,37,91.27,67.11,67.23
36.85,37,86.02,67.11,67.23
36.85,37,86.04,67.11,67.23
36.85,37,86.05,67.11,67.23
36.88,37,86.06,67.14,67.23
36.85,37,75.95,67.11,67.23
36.85,37,91.34,67.11,67.23
36.82,37,86.09,67.09,67.23
36.82,37,96.2,67.09,67.23
36.82,37,90.97,67.09,67.23
36.85,37,90.98,67.11,67.23
36.82,37,80.9,67.09,67.23
36.82,37,96.25,67.09,67.23
36.78,37,91.02,67.06,67.23
36.82,37,101.13,67.09,67.23
36.82,37,85.81,67.09,67.23
36.78,37,91.07,67.06,67.23
36.78,37,101.17,67.06,67.23
36.78,37,95.95,67.06,67.23
36.78,37,95.97,67.06,67.23
36.78,37,95.98,67.06,67.23
36.78,37,96,67.06,67.23
36.78,37,96.02,67.06,67.23
36.78,37,96.03,67.06,67.23
36.78,37,96.05,67.06,67.23
36.75,37,96.07,67.03,67.23
36.75,37,106.21,67.03,67.23
36.75,37,100.97,67.03,67.23
36.75,37,100.99,67.03,67.23
36.75,37,101.01,67.03,67.23
36.75,37,101.03,67.03,67.23
36.75,37,101.05,67.03,67.23
36.75,37,101.07,67.03,67.23
36.71,37,101.09,67.01,67.23
36.75,37,111.2,67.03,67.23
36.71,37,95.89,67.01,67.23
36.71,37,111.24,67.01,67.23
36.75,37,106.02,67.03,67.23
36.71,37,95.95,67.01,67.23
36.71,37,111.3,67.01,67.23
36.68,37,106.08,66.98,67.23
36.71,37,116.2,67.01,67.23
36.71,37,100.89,67.01,67.23
36.68,37,106.15,66.98,67.23
36.68,37,116.27,66.98,67.23
36.68,37,111.05,66.98,67.23
36.68,37,111.07,66.98,67.23
36.68,37,111.1,66.98,67.23
36.68,37,111.12,66.98,67.23
36.65,37,111.15,66.95,67.23
36.65,37,121.3,66.95,67.23
36.65,37,116.07,66.95,67.23
36.68,37,116.09,66.98,67.23
36.65,37,106,66.95,67.23
36.65,37,121.4,66.95,67.23
36.65,37,116.17,66.95,67.23
36.61,37,116.2,66.93,67.23
36.65,37,126.32,66.95,67.23
36.61,37,111.02,66.93,67.23
36.61,37,126.38,66.93,67.23
36.61,37,121.17,66.93,67.23
36.61,37,121.2,66.93,67.23
36.61,37,121.23,66.93,67.23
36.61,37,121.26,66.93,67.23
36.58,37,121.29,66.9,67.23
36.58,37,131.41,66.9,67.23
36.58,37,126.2,66.9,67.23
36.54,37,126.23,66.88,67.23
36.54,37,136.39,66.88,67.23
36.58,37,131.16,66.9,67.23
36.58,37,121.08,66.9,67.23
36.54,37,126.37,66.88,67.23
36.58,37,136.52,66.9,67.23
36.54,37,121.18,66.88,67.23
36.54,37,136.59,66.88,67.23
36.51,37,131.37,66.85,67.23
36.54,37,141.49,66.88,67.23
36.51,37,126.2,66.85,67.23
36.54,37,141.57,66.88,67.23
36.51,37,126.27,66.85,67.23
36.54,37,141.64,66.88,67.23
36.51,37,126.35,66.85,67.23
36.54,37,141.71,66.88,67.23
36.54,37,126.42,66.88,67.23
36.51,37,131.69,66.85,67.23
36.54,37,141.82,66.88,67.23
36.54,37,126.53,66.88,67.23
36.54,37,131.8,66.88,67.23
36.54,37,131.84,66.88,67.23
36.54,37,131.87,66.88,67.23
36.51,37,131.91,66.85,67.23
36.54,37,142.04,66.88,67.23
36.54,37,126.74,66.88,67.23
36.54,37,132.02,66.88,67.23
36.54,37,132.05,66.88,67.23
36.58,37,132.09,66.9,67.23
36.54,37,122,66.88,67.23
36.58,37,137.41,66.9,67.23
36.58,37,122.07,66.9,67.23
36.54,37,127.36,66.88,67.23
36.58,37,137.51,66.9,67.23
36.58,37,122.17,66.9,67.23
36.58,37,127.46,66.9,67.23
36.58,37,127.49,66.9,67.23
36.61,37,127.52,66.93,67.23
36.61,37,117.46,66.93,67.23
36.61,37,122.73,66.93,67.23
36.61,37,122.76,66.93,67.23
36.61,37,122.79,66.93,67.23
36.61,37,122.82,66.93,67.23
36.65,37,122.85,66.95,67.23
36.68,37,112.79,66.98,67.23
36.68,37,107.94,66.98,67.23
36.68,37,113.22,66.98,67.23
36.68,37,113.25,66.98,67.23
36.68,37,113.27,66.98,67.23
