Temp,Setpoint,Output,,
36.51,37,103.2,66.85,67.23
36.54,37,116.08,66.88,67.23
36.54,37,94.89,66.88,67.23
36.51,37,103.32,66.85,67.23
36.51,37,116.2,66.85,67.23
36.51,37,107.85,66.85,67.23
36.51,37,107.9,66.85,67.23
36.51,37,107.94,66.85,67.23
36.51,37,107.98,66.85,67.23
36.51,37,108.02,66.85,67.23
36.51,37,108.06,66.85,67.23
36.51,37,108.1,66.85,67.23
36.48,37,108.15,66.82,67.23
36.48,37,121.03,66.82,67.23
36.51,37,112.69,66.85,67.23
36.48,37,99.89,66.82,67.23
36.48,37,121.16,66.82,67.23
36.48,37,112.82,66.82,67.23
36.48,37,112.86,66.82,67.23
36.44,37,112.91,66.8,67.23
36.44,37,125.8,66.8,67.23
36.44,37,117.46,66.8,67.23
36.44,37,117.5,66.8,67.23
36.44,37,117.55,66.8,67.23
36.44,37,117.6,66.8,67.23
36.44,37,117.65,66.8,67.23
36.44,37,117.69,66.8,67.23
36.41,37,117.74,66.77,67.23
36.44,37,130.63,66.8,67.23
36.41,37,109.45,66.77,67.23
36.44,37,130.73,66.8,67.23
36.44,37,109.55,66.8,67.23
36.41,37,117.98,66.77,67.23
36.41,37,130.88,66.77,67.23
36.41,37,122.54,66.77,67.23
36.41,37,122.59,66.77,67.23
36.37,37,122.64,66.74,67.23
36.41,37,135.57,66.77,67.23
36.41,37,114.33,66.77,67.23
36.37,37,122.79,66.74,67.23
36.37,37,135.73,66.74,67.23
36.37,37,127.37,66.74,67.23
36.37,37,127.42,66.74,67.23
36.41,37,127.47,66.77,67.23
36.41,37,114.65,66.77,67.23
36.41,37,123.11,66.77,67.23
36.37,37,123.16,66.74,67.23
36.41,37,136.09,66.77,67.23
36.37,37,114.85,66.74,67.23
36.37,37,136.19,66.74,67.23
36.41,37,127.83,66.77,67.23
36.41,37,115.01,66.77,67.23
36.37,37,123.47,66.74,67.23
36.37,37,136.4,66.74,67.23
36.37,37,128.04,66.74,67.23
36.37,37,128.09,66.74,67.23
36.37,37,128.15,66.74,67.23
36.37,37,128.2,66.74,67.23
36.37,37,128.25,66.74,67.23
36.37,37,128.31,66.74,67.23
36.41,37,128.36,66.77,67.23
36.41,37,115.53,66.77,67.23
36.41,37,123.99,66.77,67.23
36.41,37,124.04,66.77,67.23
36.41,37,124.09,66.77,67.23
36.41,37,124.14,66.77,67.23
36.41,37,124.19,66.77,67.23
36.44,37,124.24,66.8,67.23
36.41,37,111.45,66.77,67.23
36.41,37,132.73,66.77,67.23
36.44,37,124.39,66.8,67.23
36.44,37,111.6,66.8,67.23
36.44,37,120.03,66.8,67.23
36.44,37,120.08,66.8,67.23
36.48,37,120.13,66.82,67.23
36.48,37,107.33,66.82,67.23
36.48,37,115.76,66.82,67.23
36.48,37,115.81,66.82,67.23
36.48,37,115.85,66.82,67.23
36.51,37,115.89,66.85,67.23
36.48,37,103.1,66.82,67.23
36.51,37,124.37,66.85,67.23
36.51,37,103.18,66.85,67.23
36.51,37,111.61,66.85,67.23
36.51,37,111.65,66.85,67.23
36.51,37,111.69,66.85,67.23
36.51,37,111.73,66.85,67.23
36.51,37,111.78,66.85,67.23
36.51,37,111.82,66.85,67.23
36.51,37,111.86,66.85,67.23
36.54,37,111.9,66.88,67.23
36.54,37,99.1,66.88,67.23
36.54,37,107.52,66.88,67.23
36.54,37,107.56,66.88,67.23
36.54,37,107.6,66.88,67.23
36.54,37,107.64,66.88,67.23
36.54,37,107.68,66.88,67.23
36.54,37,107.72,66.88,67.23
36.54,37,107.76,66.88,67.23
36.58,37,107.79,66.9,67.23
36.54,37,94.95,66.88,67.23
36.58,37,116.28,66.9,67.23
36.58,37,95.02,66.9,67.23
36.54,37,103.47,66.88,67.23
36.58,37,116.39,66.9,67.23
36.58,37,95.14,66.9,67.23
36.54,37,103.58,66.88,67.23
36.58,37,116.5,66.9,67.23
