Temp,Setpoint,,,
30.03,30,35.48,61.84,61.82
30.03,30,35.47,61.84,61.82
30.03,30,35.47,61.84,61.82
30.03,30,35.47,61.84,61.82
30.03,30,35.46,61.84,61.82
30.03,30,35.46,61.84,61.82
30.03,30,35.46,61.84,61.82
30.03,30,35.45,61.84,61.82
30.03,30,35.45,61.84,61.82
30.03,30,35.45,61.84,61.82
30.03,30,35.44,61.84,61.82
30,30,35.44,61.82,61.82
30.03,30,44.36,61.84,61.82
30.03,30,31.5,61.84,61.82
30,30,35.44,61.82,61.82
30,30,44.35,61.82,61.82
30,30,40.42,61.82,61.82
30,30,40.42,61.82,61.82
30,30,40.42,61.82,61.82
30,30,40.42,61.82,61.82
30,30,40.42,61.82,61.82
30,30,40.42,61.82,61.82
30.03,30,40.42,61.84,61.82
30,30,31.5,61.82,61.82
29.97,30,44.35,61.79,61.82
29.97,30,49.31,61.79,61.82
30,30,45.39,61.82,61.82
29.97,30,36.5,61.79,61.82
30,30,49.32,61.82,61.82
29.97,30,36.5,61.79,61.82
29.97,30,49.32,61.79,61.82
29.97,30,45.4,61.79,61.82
29.97,30,45.4,61.79,61.82
29.97,30,45.41,61.79,61.82
29.97,30,45.41,61.79,61.82
29.97,30,45.41,61.79,61.82
29.97,30,45.42,61.79,61.82
29.93,30,45.42,61.77,61.82
29.97,30,54.32,61.79,61.82
29.97,30,41.51,61.79,61.82
29.93,30,45.43,61.77,61.82
29.97,30,54.33,61.79,61.82
29.93,30,41.52,61.77,61.82
29.93,30,54.34,61.77,61.82
29.97,30,50.42,61.79,61.82
29.93,30,41.54,61.77,61.82
29.9,30,54.36,61.74,61.82
29.93,30,59.36,61.77,61.82
29.93,30,46.51,61.77,61.82
29.93,30,50.46,61.77,61.82
29.9,30,50.46,61.74,61.82
29.93,30,59.39,61.77,61.82
29.9,30,46.54,61.74,61.82
29.9,30,59.41,61.74,61.82
29.9,30,55.48,61.74,61.82
29.93,30,55.49,61.77,61.82
29.9,30,46.58,61.74,61.82
29.9,30,59.44,61.74,61.82
29.9,30,55.52,61.74,61.82
29.9,30,55.52,61.74,61.82
29.9,30,55.53,61.74,61.82
29.9,30,55.54,61.74,61.82
29.9,30,55.55,61.74,61.82
29.9,30,55.56,61.74,61.82
29.9,30,55.57,61.74,61.82
29.9,30,55.58,61.74,61.82
29.9,30,55.59,61.74,61.82
29.86,30,55.6,61.71,61.82
29.86,30,64.5,61.71,61.82
29.9,30,60.59,61.74,61.82
29.86,30,51.71,61.71,61.82
29.86,30,64.54,61.71,61.82
29.86,30,60.63,61.71,61.82
29.86,30,60.64,61.71,61.82
29.86,30,60.65,61.71,61.82
29.86,30,60.67,61.71,61.82
29.86,30,60.68,61.71,61.82
29.86,30,60.69,61.71,61.82
29.86,30,60.7,61.71,61.82
29.83,30,60.72,61.69,61.82
29.86,30,69.62,61.71,61.82
29.83,30,56.82,61.69,61.82
29.86,30,69.65,61.71,61.82
29.86,30,56.85,61.71,61.82
29.86,30,60.79,61.71,61.82
29.86,30,60.8,61.71,61.82
29.83,30,60.81,61.69,61.82
29.86,30,69.72,61.71,61.82
29.86,30,56.92,61.71,61.82
29.83,30,60.85,61.69,61.82
29.83,30,69.76,61.69,61.82
29.8,30,65.85,61.66,61.82
29.83,30,74.76,61.69,61.82
29.83,30,61.96,61.69,61.82
29.83,30,65.9,61.69,61.82
29.8,30,65.92,61.66,61.82
29.83,30,74.83,61.69,61.82
29.83,30,62.03,61.69,61.82
29.8,30,65.97,61.66,61.82
29.8,30,74.88,61.66,61.82
29.83,30,70.98,61.69,61.82
29.83,30,62.1,61.69,61.82
29.8,30,66.04,61.66,61.82
29.8,30,74.95,61.66,61.82
29.8,30,71.04,61.66,61.82
29.8,30,71.06,61.66,61.82
29.8,30,71.08,61.66,61.82
29.83,30,71.1,61.69,61.82
29.8,30,62.22,61.66,61.82
29.8,30,75.06,61.66,61.82
29.76,30,71.15,61.63,61.82
29.8,30,80.07,61.66,61.82
29.8,30,67.27,61.66,61.82
29.8,30,71.21,61.66,61.82
29.8,30,71.23,61.66,61.82
29.8,30,71.25,61.66,61.82
29.76,30,71.27,61.63,61.82
29.8,30,80.18,61.66,61.82
29.8,30,67.39,61.66,61.82
29.76,30,71.33,61.63,61.82
29.76,30,80.24,61.63,61.82
29.76,30,76.34,61.63,61.82
29.76,30,76.37,61.63,61.82
29.76,30,76.39,61.63,61.82
29.76,30,76.41,61.63,61.82
29.76,30,76.43,61.63,61.82
29.76,30,76.45,61.63,61.82
29.76,30,76.48,61.63,61.82
29.76,30,76.5,61.63,61.82
29.76,30,76.52,61.63,61.82
29.76,30,76.54,61.63,61.82
29.73,30,76.56,61.61,61.82
29.76,30,85.51,61.63,61.82
29.73,30,72.68,61.61,61.82
29.76,30,85.55,61.63,61.82
29.76,30,72.72,61.63,61.82
29.73,30,76.68,61.61,61.82
29.73,30,85.62,61.61,61.82
29.73,30,81.71,61.61,61.82
29.73,30,81.74,61.61,61.82
29.73,30,81.76,61.61,61.82
29.73,30,81.79,61.61,61.82
29.76,30,81.81,61.63,61.82
29.73,30,72.92,61.61,61.82
29.73,30,85.8,61.61,61.82
29.73,30,81.89,61.61,61.82
29.73,30,81.91,61.61,61.82
29.73,30,81.94,61.61,61.82
29.73,30,81.96,61.61,61.82
29.73,30,81.99,61.61,61.82
29.73,30,82.01,61.61,61.82
29.73,30,82.04,61.61,61.82
29.7,30,82.06,61.58,61.82
29.73,30,90.98,61.61,61.82
29.73,30,78.19,61.61,61.82
29.7,30,82.14,61.58,61.82
29.73,30,91.06,61.61,61.82
29.7,30,78.27,61.58,61.82
29.7,30,91.11,61.58,61.82
29.73,30,87.22,61.61,61.82
29.7,30,78.35,61.58,61.82
29.7,30,91.2,61.58,61.82
29.7,30,87.3,61.58,61.82
29.7,30,87.33,61.58,61.82
29.7,30,87.36,61.58,61.82
29.66,30,87.39,61.56,61.82
29.7,30,96.31,61.58,61.82
