temp,Setpoint,,,
36.37,37,121.75,66.74,67.23
36.37,37,116.54,66.74,67.23
36.37,37,116.59,66.74,67.23
36.37,37,116.63,66.74,67.23
36.37,37,116.68,66.74,67.23
36.34,37,116.73,66.72,67.23
36.37,37,126.74,66.74,67.23
36.37,37,111.59,66.74,67.23
36.37,37,116.88,66.74,67
36.31,37,116.93,66.69,67.23
36.34,37,136.9,66.72,67.23
36.34,37,116.51,66.72,67.23
36.31,37,121.8,66.69,67.23
36.31,37,131.81,66.69,67.23
36.27,37,126.62,66.67,67.23
36.31,37,136.67,66.69,67.23
36.31,37,121.48,66.69,67.23
36.31,37,126.79,66.69,67.23
36.31,37,126.84,66.69,67.23
36.31,37,126.89,66.69,67.23
36.31,37,126.95,66.69,67.23
36.27,37,127,66.67,67.23
36.31,37,137.04,66.69,67.23
36.31,37,121.85,66.69,67.23
36.31,37,127.16,66.69,67.23
36.27,37,127.22,66.67,67.23
36.27,37,137.26,66.67,67.23
36.31,37,132.06,66.69,67.23
36.27,37,122.13,66.67,67.23
36.27,37,137.43,66.67,67.23
36.31,37,132.23,66.69,67.23
36.27,37,122.29,66.67,67.23
36.24,37,137.59,66.64,67.23
36.27,37,142.35,66.67,67.23
36.27,37,127.21,66.67,67.23
36.27,37,132.51,66.67,67.23
36.27,37,132.56,66.67,67.23
36.31,37,132.62,66.69,67.23
36.27,37,122.69,66.67,67.23
36.27,37,137.99,66.67,67.23
36.27,37,132.79,66.67,67.23
36.31,37,132.84,66.69,67.23
36.31,37,122.91,66.69,67.23
36.31,37,128.22,66.69,67.23
36.27,37,128.27,66.67,67.23
36.31,37,138.31,66.69,67.23
36.31,37,123.13,66.69,67.23
36.31,37,128.43,66.69,67.23
36.31,37,128.49,66.69,67.23
36.31,37,128.54,66.69,67.23
36.34,37,128.6,66.72,67.23
36.34,37,118.69,66.72,67.23
36.34,37,123.98,66.72,67.23
36.34,37,124.03,66.72,67.23
36.37,37,124.08,66.74,67.23
36.37,37,114.17,66.74,67.23
36.37,37,119.46,66.74,67.23
36.41,37,119.51,66.77,67.23
36.41,37,109.57,66.77,67.23
36.41,37,114.87,66.77,67.23
36.41,37,114.92,66.77,67.23
36.41,37,114.96,66.77,67.23
36.44,37,115.01,66.8,67.23
36.44,37,105.09,66.8,67.23
36.48,37,110.38,66.82,67.23
36.44,37,100.46,66.8,67.23
36.44,37,115.7,66.8,67.23
36.48,37,110.5,66.82,67.23
36.48,37,100.59,66.82,67.23
36.51,37,105.87,66.85,67.23
36.48,37,95.95,66.82,67.23
36.51,37,111.19,66.85,67.23
36.51,37,96.03,66.85,67.23
36.51,37,101.31,66.85,67.23
36.54,37,101.34,66.88,67.23
36.48,37,91.42,66.82,67.23
36.51,37,116.62,66.85,67.23
36.54,37,96.22,66.88,67.23
36.54,37,91.53,66.88,67.23
36.54,37,96.81,66.88,67.23
36.54,37,96.85,66.88,67.23
36.54,37,96.88,66.88,67.23
36.54,37,96.92,66.88,67.23
36.54,37,96.95,66.88,67.23
36.58,37,96.99,66.9,67.23
36.54,37,87.03,66.88,67.23
36.58,37,102.31,66.9,67.23
36.58,37,87.1,66.9,67.23
36.58,37,92.39,66.9,67.23
36.58,37,92.42,66.9,67.23
36.58,37,92.45,66.9,67.23
36.58,37,92.49,66.9,67.23
36.58,37,92.52,66.9,67.23
36.58,37,92.55,66.9,67.23
36.58,37,92.58,66.9,67.23
36.58,37,92.62,66.9,67.23
36.58,37,92.65,66.9,67.23
